Year,CO2
-614350,252.8982584
-613192,252.7479748
-613192,252.7479748
-613192,252.7479748
-611994,256.1935786
-611994,256.1935786
-611994,256.1935786
-610813,258.1379745
-610813,258.1379745
-610813,258.1379745
-609652,259.6847092
-609602,257.8151014
-608481,257.7448677
-608481,257.7448677
-608481,257.7448677
-607298,259.2237979
-607298,259.2237979
-607298,259.2237979
-606030,254.5783255
-606030,254.5783255
-606030,254.5783255
-604677,248.480185
-604677,248.480185
-604677,248.480185
-603354,244.5322516
-603354,244.5322516
-603354,244.5322516
-602000,239.1401259
-602000,239.1401259
-602000,239.1401259
-600652,237.8582812
-600652,237.8582812
-600652,237.8582812
-599306,232.4547892
-599306,232.4547892
-599306,232.4547892
-599306,232.4547892
-597866,229.3814805
-597866,229.3814805
-597269,225.9716627
-597269,225.9716627
-596381,219.0222803
-595855,216.2730971
-595855,216.2730971
-594842,216.4410116
-594842,216.4410116
-594273,221.2172429
-594273,221.2172429
-593487,232.9179557
-592915,237.9772146
-592915,237.9772146
-592098,238.1475936
-591612,233.1632189
-591612,233.1632189
-590837,229.3866701
-590434,225.6788036
-590434,225.6788036
-589070,237.3775124
-589070,237.3775124
-588540,243.5553026
-588091,248.1046424
-588091,248.1046424
-587476,250.2045646
-586992,246.346029
-586330,238.7841159
-586330,238.7841159
-585940,234.4009291
-585223,225.9929311
-584772,223.9576328
-584772,223.9576328
-584772,223.9576328
-584772,223.9576328
-582010,210.6390178
-582010,210.6390178
-582010,210.6390178
-582010,210.6390178
-581625,206.6812525
-580887,209.8834178
-580506,215.4458665
-579979,219.4126581
-579598,225.2070402
-579170,230.2553891
-578865,236.1702196
-578453,243.8071398
-577884,251.4730231
-577332,252.9234049
-577332,252.9234049
-576793,249.056869
-576247,251.0792764
-575705,251.3417253
-575166,251.2965767
-575166,251.2965767
-574650,252.8973536
-574164,252.5436976
-573706,248.863922
-573285,252.0800267
-572857,251.8615048
-572416,251.7666008
-571964,248.7207804
-571527,249.1861814
-571105,247.6569725
-570721,246.3095518
-570366,250.3009962
-569684,249.6
-569312,251.8
-568913,251.8
-568514,251.3
-568118,250
-567735,251.3
-567366,250.2
-566981,253
-566255,253.9
-565936,253.2
-565600,254.5
-564969,254.3
-564640,253.7
-564296,251.4
-563947,252.6
-563185,251.4
-562775,247.6
-562362,245.8
-561979,245.7
-561587,242.3
-561186,240.1
-560707,234.1
-560361,234.6
-559939,231.9
-559502,231.6
-559017,228.3
-558488,230.3
-558488,230.3
-557688,229.7
-557367,234.5
-556829,238.1
-556357,240.4
-556206,245.6
-555708,244
-555250,243
-554974,241
-554458,233.9
-553893,226.7
-553209,224.3
-553209,224.3
-552531,223.6
-551860,220.3
-551670,222.1
-551297,226.3
-551072,222.3
-550733,221.7
-550162,219.9
-549432,215.2
-549432,215.2
-548634,213.6
-548282,208.8
-547771,202.5
-547771,202.5
-546822,204.6
-546822,204.6
-545858,209.7
-545858,209.7
-544881,209.6
-544881,209.6
-544881,209.6
-543916,210.3
-543916,210.3
-542937,208.1
-542937,208.1
-541896,203.6
-541896,203.6
-541896,203.6
-540791,205
-540791,205
-539705,211.2
-539705,211.2
-539705,211.2
-538635,212.9
